tractid,"% white, non-Hispanic","% black, non-Hispanic",% Asian and Pacific Islander race,% Hawaiian race,% Indian birth/race,% Chinese birth/race,% Filipino birth/race,% Japanese birth/race,% Korean birth/race,"% 15 and under, non-Hispanic white","% 60 and older, non-Hispanic white","% 15 and under, non-Hispanic black","% 60 and older, non-Hispanic black",% Mexican birth/ethnicity,% Cuban birth/ethnicity,% Puerto Rican birth/ethnicity,% Russian/USSR parentage/ancestry,% Italian parentage/ancestry,% German parentage/ancestry,% Irish parentage/ancestry,% Scandinavian parentage/ancestry,% foreign born,% immigrated in past 10 years,% Naturalized,% Russian/USSR birth,% Italian birth,% German birth,% Irish birth,% Scandinavian birth,% with high school degree or less,% with 4-year college degree or more,% unemployed,% female labor force participation,% professional employees,% manufacturing employees,% self-employed,% veteran,% with disability,"Median HH income, total",Per capita income,"% in poverty, total","% in poverty, 65+","% in poverty, families with children","% in poverty, whites","% in poverty, African Americans",% vacant units,% owner-occupied units,% multi-family units,Median home value,Median rent,% structures more than 30 years old,% HH in neighborhood 10 years or less,"% 17 and under, total","% 60 and older, total","% 75 and older, total","% currently married, not separated","% widowed, divorced and separated",% female-headed families with children,% Hispanic,% Native American race,% Vietnamese race,"% 15 and under, Hispanic","% 60 and older, Hispanic","% 15 and under, Native American","% 60 and older, Native American","% 15 and under, Asian/  Pacific Islanders","% 60 and older, Asian/  Pacific Islanders","% speaking other language at home, age 5+","% speaking English not well, age 5+","Median HH income, whites","Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders","% in poverty, Hispanics","% in poverty, Native Americans","% in poverty, Asian/ Pacific Islanders",year
36061000201,83.42318059299193,12.668463713621236,3.144654113310236,-9999,0.31446541133102357,2.3360287698876037,0.08984726038029245,0.4043126717113161,-9999,26.063543558847872,23.53257961821595,51.06382978723404,2.127659574468085,-9999,-9999,46.13656820528018,3.418367374843815,0.8673469458558934,-9999,-9999,-9999,3.6103798705596,-9999,2.933433644829675,2.0408163431903374,-9999,-9999,-9999,-9999,93.98148148148148,1.2962962962962963,4.865771812080537,33.28785811732606,9.171075837742505,24.691358024691358,0.8818342151675485,32.597623089983024,17.841213345736772,4830.188581,2710.585,26.150733646136437,3.9959534971852584,14.893617021276595,27.98053550106263,12.820512820512821,1.256281407035176,46.69211195928753,97.36180904522612,65000.0,83.94999254,36.46788990825688,68.77934272300469,34.007188053940695,20.39532810632639,4.357592128444184,52.78609988476744,20.251647855903965,16.634429400386846,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36061000202,81.56723644321045,13.833893300236873,3.336567297437766,0.0053197383370466355,0.0604800039750832,3.0177017015526704,0.06512837109823447,0.16800126917775837,0.019936210920395957,23.682227581168192,25.521995149766436,32.36484530447919,11.29003899066863,0.08892780146672111,0.34983385789706917,28.658674320603577,9.308134447840755,4.049850084727749,0.27445860485484874,0.7856312310608551,0.2492026365411673,20.795666194416118,1.2515387036188963,18.45727706266254,3.3776174469373497,1.0466511492305044,0.18939400377128715,0.05980863276988015,-9999,84.38756377658726,8.691489078859428,3.820096121121532,35.91902507293667,22.491670749667744,18.916387778451696,4.363763529131768,29.590874261471935,17.009514540399515,5843.199002,3772.501,17.11052680890116,5.114247228826062,8.301050755703562,17.66251436317698,17.306207545680664,1.003437811125635,39.47244529099359,99.07408277588091,-9999,74.53570619,8.495417524117572,60.8828374517765,28.634755191612612,22.853930152639634,6.510566844658496,52.20516288355447,20.33713868023717,10.578043092451873,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36061000500,89.76160602258469,5.495608531994981,3.5884567126725218,0.025094102885821833,0.10037641154328733,0.050188205771643665,3.3626097867001254,0.050188205771643665,-9999,23.28767123287671,0.3913894324853229,22.374429223744293,-9999,0.17565872020075282,-9999,3.6888331242158094,0.32919726513041275,0.4304887313243859,1.0888832615852115,0.962268928842745,-9999,3.2943676939426143,1.1158342189160468,1.1158342189160468,-9999,-9999,-9999,0.15193719929095972,-9999,65.83333333333333,18.166666666666668,-9999,39.85507246376812,21.13821138211382,1.6260162601626016,-9999,32.72727272727273,6.731813246471227,2819.696949,3739.031,1.5205271160669032,-9999,3.470715835140998,1.7251293847038527,-9999,3.415559772296015,-9999,97.15370018975332,-9999,-9999,37.714285714285715,98.60834990059642,25.06900878293601,0.42659974905897113,0.20075282308657466,42.783338714885375,2.841459476913142,3.470715835140998,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36061000600,56.52487382840662,11.64383567608128,30.233117194035604,-9999,0.036049026860932754,30.112953771165827,0.04806536914791034,0.036049026860932754,-9999,30.505952537212252,18.027210976694068,38.69969040247678,9.803921568627452,-9999,0.636866141209812,32.45614051712646,3.9894256394550953,2.835856779853622,0.5407354029381907,0.07209805372509208,-9999,34.287652822650045,12.862958003906703,18.69742207740869,2.3311704037779775,1.8024513431273022,0.27637587261285296,-9999,-9999,93.03608365892899,2.9188692254654103,4.223227752639517,31.570192947438457,13.4251968503937,29.763779527559056,3.5039370078740157,22.143654633420173,10.99203083507793,5141.700085,2608.953,21.59336709066508,4.434030304093163,12.37597911227154,24.119718431943994,30.139935414424112,2.0257826887661143,0.9022556390977443,98.48987108655616,-9999,76.75487244,41.87845303867403,76.05263157894737,36.361451760394175,14.671953932399632,3.9774092969895807,49.95907702787984,16.811262158464153,11.697127937336814,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36061000700,99.9111908580098,-9999,0.0888091419901799,-9999,-9999,0.0888091419901799,-9999,-9999,-9999,16.44444610945951,0.17777616546757535,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,857.1428834,-9999,-9999,-9999,-9999,-9999,-9999,49.5102448784522,-9999,100.0,-9999,233.3333438,-9999,-9999,16.429841937964653,0.1776182839803605,-9999,40.06376052310502,19.872476822627196,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36061000800,54.303257362889006,0.697262979048888,44.60401683885871,-9999,0.041627640540232116,44.35425099561732,0.062441460810348175,0.12488292162069635,0.020813820270116058,15.657339896801485,24.798773349401618,22.388059701492537,10.447761194029852,-9999,1.4881881493132982,2.560099893224275,3.203328116800512,16.099843911711663,0.34321372680005485,0.9984399325092504,0.06240249578182815,43.72208415026261,22.57071949096417,21.84615373773621,0.821632861127404,4.097763889673382,0.07280291174546617,0.2496099831273126,0.06240249578182815,91.4175506268081,3.439408550305368,3.6568213783403656,43.74183433498824,10.924574209245742,29.610705596107056,5.425790754257908,27.486690949845894,9.001171109413368,6048.172979,3394.627,18.276544660253133,5.574658719062386,7.455976020981641,15.50028910381573,-9999,0.7074829931972789,1.2332145793368046,98.20408163265306,-9999,82.5,90.14737991266375,55.914567360350496,25.028618874814562,18.846914254590093,4.22520551483356,58.42145959241811,14.89553771064965,4.346197077557138,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36061000900,93.7580648347507,-9999,6.241935079770425,-9999,-9999,6.241935079770425,-9999,-9999,-9999,0.022938001828655633,13.314982750063985,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,857.1429052,-9999,-9999,-9999,-9999,-9999,-9999,7.759478455140689,-9999,100.0,-9999,233.3333429,-9999,-9999,0.02150622662630725,12.483870159540862,-9999,43.74596611798502,12.50806639919526,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36061001001,89.13745137107847,9.238125827624376,1.0514870449805547,-9999,0.11232077531527086,0.8257245057074327,0.05445855683959207,0.055579564342182086,0.003403659802474513,18.62201770233852,25.927255218636002,40.4044354006756,9.208705175607777,0.020421959344986,0.657824155474903,16.84667069803322,16.01723276784887,4.572312870504781,2.716080868596257,0.04849879692126216,-9999,20.6505816959567,-9999,20.39379606710683,7.471872232254181,0.29437425501208875,0.9142178384484135,-9999,-9999,83.78666139438731,10.223689292439275,2.43934247812629,42.30096763646937,35.15710838840626,14.51116499713978,8.314500755277159,26.05312278124591,9.585009611511143,7453.678028,4015.684,12.877285769600501,3.5768951037191217,6.607393527613264,12.532336677196124,18.558966783222143,0.1023956497890573,70.1864836961886,99.38551901021408,-9999,76.67191175,1.342325115201482,32.764269634547624,24.470922654399356,24.058029747744325,6.428561851915298,58.98986751484619,15.52130757404803,6.145903962546541,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36061001002,68.17094881082176,28.365100776980228,1.516237771508417,4.3579514657334704e-06,0.4067895055405224,0.8259187533566802,0.1972314044877824,0.07396711693253225,0.012326690408519756,34.955194087861415,13.887362618908506,45.414807312852936,4.1286591800268795,0.07397583283132318,0.3451726110291273,58.08672301981872,2.9838683304704228,1.6142000828594245,0.3668656027984497,0.17121663703514034,-9999,9.567197008912492,-9999,8.473026607124243,1.491933733410392,0.28126032447398897,0.19565935546846278,-9999,-9999,96.66490853531077,0.5515453471565547,7.309187001209985,27.13849704813781,9.01901106200354,23.903216514372954,3.252818614992814,24.32669365761644,14.862059132139555,5076.117819,2438.123,26.01179557859381,3.5735390006827323,18.53837678810928,29.115429394459355,21.85511903858593,0.0434091717803869,0.9114453101126936,98.39482013504328,-9999,79.13774429,6.38504836210883,60.93230075199408,43.55288111683965,10.860138755008503,3.6734366325214087,51.17313258428666,17.2030234433609,18.59113850508705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36061001200,88.03850250172684,8.496576175607046,2.047279012740494,0.0025434951139169113,0.41181590252035316,1.5043217329689416,0.06977498386927612,0.03951896858746318,0.019303969729851194,19.24527801414623,25.73692242395028,35.288957124016356,5.944671745528649,0.4064758332585316,0.20731330421992686,19.222874866164247,12.331597980073514,2.5297995759893235,1.5364914441223012,0.3099468418722898,0.010151176596123496,18.97632236881754,2.0379668591299707,16.024219812772227,5.5347345231243,0.9756248241981185,1.1410286610887213,0.017764558541098444,-9999,79.64189863542015,12.863685813413307,4.827664032645694,34.25833523305176,26.671027615175216,23.201323354097774,9.76150730517349,25.630348575417408,11.899968772156877,6127.890142,3805.626,19.712412980388613,4.10787807731336,9.991411795874306,19.84543997304503,18.830483498551136,1.4151704532240463,54.60249758149284,98.72399786405605,-9999,67.65490375,34.68435897973445,51.78353611754087,24.19275064761253,23.425720461360438,6.347912119363352,54.833696418120525,19.117659013099654,10.895478309560332,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
