geoid,period,"% white, non-Hispanic","% black, non-Hispanic",% Hispanic,% Native American race,% Asian and Pacific Islander race,% Hawaiian race,% Indian birth/race,% Chinese birth/race,% Filipino birth/race,% Japanese birth/race,% Korean birth/race,% Vietnamese race,"% 15 and under, non-Hispanic white","% 60 and older, non-Hispanic white","% 15 and under, non-Hispanic black","% 60 and older, non-Hispanic black","% 15 and under, Hispanic","% 60 and older, Hispanic","% 15 and under, Native American","% 60 and older, Native American","% 15 and under, Asian/  Pacific Islanders","% 60 and older, Asian/  Pacific Islanders",% Mexican birth/ethnicity,% Cuban birth/ethnicity,% Puerto Rican birth/ethnicity,% Russian/USSR parentage/ancestry,% Italian parentage/ancestry,% German parentage/ancestry,% Irish parentage/ancestry,% Scandinavian parentage/ancestry,% foreign born,% immigrated in past 10 years,% Naturalized,"% speaking other language at home, age 5+","% speaking English not well, age 5+",% Russian/USSR birth,% Italian birth,% German birth,% Irish birth,% Scandinavian birth,% with high school degree or less,% with 4-year college degree or more,% unemployed,% female labor force participation,% professional employees,% manufacturing employees,% self-employed,% veteran,% with disability,"Median HH income, total","Median HH income, whites","Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders",Per capita income,"% in poverty, total","% in poverty, 65+","% in poverty, families with children","% in poverty, whites","% in poverty, African Americans","% in poverty, Hispanics","% in poverty, Native Americans","% in poverty, Asian/ Pacific Islanders",% vacant units,% owner-occupied units,% multi-family units,Median home value,Median rent,% structures more than 30 years old,% HH in neighborhood 10 years or less,"% 17 and under, total","% 60 and older, total","% 75 and older, total","% currently married, not separated","% widowed, divorced and separated",% female-headed families with children
13215010204,2000,77.43890888,14.434552,4.508429627,0.530403486,2.765675317,-9999,0.416745596,0.435688577,0.170486835,0.189429816,1.193407842,0.132600871,24.21722114,13.47847358,25.37722908,14.81481481,30.25210084,5.882352941,8.333333333,16.66666667,14.9122807,7.894736842,0.776662247,0.246258761,1.894298163,0.11365789,1.496495548,8.543284713,10.13449517,1.420723622,3.996969123,1.382837659,2.083727979,8.109209454,1.140994295,-9999,-9999,1.174464861,-9999,-9999,41.60735469,27.55041518,1.450381679,58.54597978,44.92641363,16.15027111,6.42912471,19.98923863,13.44232516,57341,59444,51000,57341,34062.5,20487,5.312868949,0.432900433,2.425502426,3.250620347,11.12737921,26.69491525,-9999,-9999,3.409696324,86.26585769,2.184336708,96200,672,15.50346297,70.27027027,27.9408979,13.14642925,4.697859443,65.49347773,14.54590204,8.071135431
13215010205,2000,85.71428571,9.074941452,3.278688525,0.351288056,1.346604215,-9999,0.117096019,0.292740047,0.058548009,0.175644028,0.468384075,0.234192037,20.56010929,21.2431694,25,3.378378378,26.78571429,19.64285714,20,-9999,14.28571429,9.523809524,0.585480094,-9999,1.405152225,-9999,3.370133643,6.042998257,5.694363742,0.522951772,6.333527019,2.208018594,6.333527019,5.079559364,-9999,-9999,-9999,1.568855317,-9999,-9999,31.5270936,36.04269294,1.194353963,61.67979003,46.48351648,13.18681319,7.472527473,20.24260804,8.652094718,54336,53868,72917,54336,59545.45455,25034,1.46113384,0.993571011,-9999,1.713502399,-9999,-9999,-9999,-9999,2.888583219,77.19546742,19.7461213,118800,148,12.97602257,70.23977433,23.59484778,19.32084309,6.850117096,59.06183369,22.88557214,6.512605042
13215010301,2000,87.03371075,4.765973793,2.705024944,0.343531697,4.937099624,-9999,2.318217384,0.128825695,0.643976388,0.386419396,0.515203117,1.05E-05,20.27605897,23.03962148,25.22565745,16.21410441,39.68107901,6.348910816,42.85664367,14.28496636,21.35898814,8.738166797,0.55823771,0.08585932,1.159321133,0.897285672,5.255707767,4.188215179,6.710204633,0.641111501,4.614872927,0.68370885,3.931148373,8.516420589,1.531967411,-9999,-9999,0.555556525,-9999,-9999,11.684438,64.44228287,1.5579731,52.93554642,63.85779785,5.662969866,27.6412968,22.25193454,7.336757176,125882.7878,118238.9699,199991.5549,125882.7878,106253.4927,69355.30667,2.607455797,0.000198391,0.78164371,1.545250197,-9999,0.017631805,-9999,36.24745381,2.947574781,88.74909789,13.05702545,313061.183,828.8702844,18.28994132,63.56238813,24.43079085,21.42608572,6.269025973,76.24790908,9.604122576,3.388570988
13215010302,2000,84.69652065,9.410540653,2.621968499,0.516762763,2.532650597,0.018439978,0.924991728,0.166126069,0.351190923,0.111138673,0.922663968,0.055319934,20.6012688,18.25357622,23.72290635,6.754921214,38.73365965,4.931467964,5.30474041,31.55981942,25.60896189,9.090008146,0.590799789,0.110750713,0.960375267,0.185562528,1.924562978,12.95021695,6.905211016,0.719986091,4.726591187,1.051959091,2.992357075,7.134799598,0.317743494,-9999,-9999,1.881586769,-9999,-9999,23.52232823,44.54712972,2.847989478,59.28048126,51.14130405,11.30652372,11.98343949,20.59281452,16.16861968,58687.90406,59777.46276,52454.90376,58687.90406,36817.38391,29615.37378,1.165092297,0.331917578,0.001105462,1.126592017,2.176080863,-9999,-9999,0.064929668,5.062383575,78.10596989,20.56443986,119877.0313,673.1009843,11.70692861,68.69039612,25.01770562,16.58675614,5.779804813,66.56318938,16.8785741,5.860349937
13215010401,2000,87.50376393,7.151460403,2.679915688,0.557061126,2.017464619,0.030111412,0.27100271,0.180668473,0.361336947,0.316169828,0.677506775,0.090334237,18.99518238,23.34824501,27.35426009,5.156950673,37.64044944,4.494382022,21.73913043,17.39130435,23.63636364,12.72727273,0.7377296,0.135501355,0.843119542,-9999,1.114122252,6.067449563,8.265582656,0.316169828,4.576934658,0.526949714,3.011141223,6.338363781,0.651310564,-9999,-9999,0.797952424,-9999,-9999,39.37869175,26.01181361,2.189349112,56.83760684,39.23169994,11.58499698,12.61343013,22.04344328,14.5701797,48494,48681,44554,48494,69107.14286,22484,4.26561791,0.741188928,2.456140351,4.000698812,-9999,8.085106383,-9999,8.839779006,2.481751825,77.24550898,10.87591241,92300,493,45.10948905,55.8757485,23.48690154,21.24360132,6.233062331,63.3401222,19.64451028,9.402985075
13215010402,2000,75.07861635,15.04192872,4.219077568,0.917190776,4.376310273,-9999,1.310272537,0.078616352,0.655136268,0.497903564,1.048218029,0.602725367,18.70855148,20.80279232,28.21428571,4.464285714,26.08695652,6.832298137,23.52941176,5.882352941,14.89361702,4.255319149,1.598532495,0.078616352,1.939203354,0.157232704,3.092243187,5.398322851,7.730607966,0.524109015,5.424528302,1.939203354,3.249475891,8.830950378,1.037286235,-9999,0.157232704,1.650943396,-9999,0.183438155,39.24901186,22.56916996,3.656678517,62.85714286,29.73115445,14.07485503,5.166051661,21.04704634,18.934665,38190,36813,36800,38190,58571.42857,18064,7.332457293,0.105124836,4.716981132,6.151142355,15.26315789,10.75949367,-9999,-9999,3.72706422,49.73198332,40.76834862,80000,542,47.07568807,70.27992853,23.21802935,16.85010482,6.158280922,52.48868778,22.78603749,14.82530689
13215010501,2000,73.39870315,19.53186778,3.352838842,0.616795825,2.704412462,0.031630555,0.506088882,0.268859718,0.521904159,0.347936106,0.790763878,0.158152776,19.04761905,23.91725921,28.02335279,6.338615513,34.90566038,7.547169811,28,4,21.16788321,11.67883212,0.695872213,0.047445833,1.628973588,0.608194622,2.464788732,4.545454545,7.410371319,1.85659411,4.561459667,1.264404609,2.784891165,7.483221477,0.822147651,-9999,0.080025608,0.88028169,0.144046095,-9999,37.58325404,28.87725975,6.076445606,56.61846496,35.09565217,15.68695652,9.32173913,19.81786644,14.56603774,45738,46186,41591,45738,74423.07692,23044,6.022161555,0.465713827,4.636871508,4.962171785,10.0949094,13.88888889,-9999,-9999,3.871215025,75.43859649,15.03371678,100200,451,42.32447441,59.1485878,25.3677052,19.37371501,5.867467974,59.28402832,17.9779701,12.22282315
13215010502,2000,73.5689397,19.44677313,2.73978305,0.322484619,2.418541417,0.053695645,0.161149085,0.215093328,0.054254989,0.322484619,1.396832572,0.053695645,15.19841198,31.10498163,28.60911277,2.953903373,17.6499944,3.919700533,-9999,-9999,30.75668593,0.014825721,1.020900904,0.161335533,0.91301242,-9999,1.70386756,4.498999134,6.716416612,1.445360015,2.11716896,-9999,1.600631826,2.713205507,-9999,-9999,-9999,0.671390734,0.516178668,-9999,49.59506683,21.94074566,7.034249126,39.83402629,27.22662557,12.20888985,5.422738763,17.23332529,21.66136962,27932.26834,26546.78111,36063.82671,27932.26834,87500,15634.67782,9.965653719,3.046290562,3.970852826,8.587046373,14.13797543,-9999,-9999,-9999,5.436503254,36.41694544,50.73393888,36921.19472,537.9701304,12.23583387,86.03076299,21.01389073,23.90525188,18.04440927,40.16610765,38.03990247,21.57382535
13215010602,2000,36.88026651,54.81089555,5.48696845,0.627082109,1.940035273,-9999,0.176366843,0.058788948,0.411522634,0.274348422,0.685871056,0.195963159,13.97449522,30.87141339,32.43636364,4.872727273,30.35714286,11.78571429,11.11111111,11.11111111,14.11764706,25.88235294,1.058201058,0.176366843,2.547521066,-9999,0.43111895,5.996472663,2.978640016,0.607485793,6.192435822,-9999,5.369390555,10.33179336,1.700965981,-9999,0.156770527,3.507740545,-9999,-9999,56.65009323,7.395898073,8.624229979,63.89943074,17.66292135,19.91011236,5.168539326,24.07355021,23.54231975,33190,35025,32034,33190,112500,14199,12.17305801,1.022615536,9.317211949,7.976756471,14.63326071,15.05791506,-9999,7.272727273,3.85818561,65.9978308,11.36600626,60600,441,55.78727842,57.42950108,28.98295121,15.1675485,3.468547913,48.23862175,24.42787349,23.60515021
13215010605,2000,3.112635189,94.51332102,1.52993933,0.158269586,0.395673965,-9999,0.052756529,-9999,-9999,-9999,0.316539172,0.052756529,16.94915254,26.27118644,27.4084507,12.98591549,36.20689655,8.620689655,-9999,50,-9999,20,0.18464785,0.026378264,0.844104458,-9999,-9999,0.553213909,-9999,0.210748156,3.688092729,1.132771338,1.159114858,3.428571429,0.6,-9999,-9999,0.553213909,-9999,-9999,52.28610231,12.53961068,9.888751545,55.99505562,23.73113855,18.2441701,3.086419753,22.04536411,27.88420605,37036,61447,36179,37036,-9999,16646,19.397463,2.82769556,15.88180979,-9999,20.77736496,35.38461538,-9999,-9999,4.535479151,77.16475096,7.461594733,80300,352,22.45793709,48.88888889,31.83856502,13.24188868,2.743339488,43.29896907,29.43476715,30.54511278
13215010606,2000,36.80048662,61.98296837,0.912408759,0.121654501,0.182481752,-9999,-9999,-9999,-9999,-9999,0.060827251,0.121654501,1.487603306,26.11570248,3.04518664,9.233791749,-9999,-9999,-9999,-9999,-9999,-9999,0.182481752,-9999,0.304136253,-9999,2.867602196,2.25747407,1.952410006,-9999,0.67114094,-9999,-9999,5.003050641,1.037217816,-9999,-9999,-9999,-9999,-9999,76.38190955,6.532663317,-9999,-9999,-9999,-9999,-9999,10.86028066,-9999,-9999,-9999,-9999,-9999,-9999,2252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.01459854,15.32846715,11.61800487,19.89017694,27.8828554,-9999
13215010607,2000,20.57937896,72.19395875,4.693178411,0.519156885,1.495171806,0.020766276,0.093448238,0.083065102,0.394559223,0.290727867,0.654137683,0.051915687,16.59939456,25.63067629,31.73469364,6.734693628,23.89380408,7.079645817,35.48387141,6.451612859,10.9243694,21.84873879,0.602222005,0.114214518,2.055861268,-9999,0.35302668,3.592565756,1.349807908,-9999,4.070189994,0.249195307,3.249922143,7.372189219,0.357981869,-9999,-9999,1.308275365,-9999,-9999,56.54740809,11.69946331,7.358571233,67.08322234,18.89347968,22.19926535,6.749311115,23.38977682,22.17782239,39592.9993,35707.00066,41685.00103,39592.9993,40833.33429,15621.00016,11.11923162,0.678638544,8.878856782,8.486707525,11.46662801,6.331878083,89.28570883,9.523809493,3.266787497,74.42151758,6.533574996,70999.99725,448.999991,38.14277025,60.16260515,32.53037013,10.78807998,1.972796184,47.61569864,22.54888182,23.65918665
