geoid,"% white, non-Hispanic","% black, non-Hispanic",% Hispanic,% Native American race,% Asian and Pacific Islander race,% Hawaiian race,% Indian birth/race,% Chinese birth/race,% Filipino birth/race,% Japanese birth/race,% Korean birth/race,% Vietnamese race,"% 15 and under, non-Hispanic white","% 60 and older, non-Hispanic white","% 15 and under, non-Hispanic black","% 60 and older, non-Hispanic black","% 15 and under, Hispanic","% 60 and older, Hispanic","% 15 and under, Native American","% 60 and older, Native American","% 15 and under, Asian/  Pacific Islanders","% 60 and older, Asian/  Pacific Islanders",% Mexican birth/ethnicity,% Cuban birth/ethnicity,% Puerto Rican birth/ethnicity,% Russian/USSR parentage/ancestry,% Italian parentage/ancestry,% German parentage/ancestry,% Irish parentage/ancestry,% Scandinavian parentage/ancestry,% foreign born,% immigrated in past 10 years,% Naturalized,"% speaking other language at home, age 5+","% speaking English not well, age 5+",% Russian/USSR birth,% Italian birth,% German birth,% Irish birth,% Scandinavian birth,% with high school degree or less,% with 4-year college degree or more,% unemployed,% female labor force participation,% professional employees,% manufacturing employees,% self-employed,% veteran,% with disability,"Median HH income, total","Median HH income, whites","Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders",Per capita income,"% in poverty, total","% in poverty, 65+","% in poverty, families with children","% in poverty, whites","% in poverty, African Americans","% in poverty, Hispanics","% in poverty, Native Americans","% in poverty, Asian/ Pacific Islanders",% vacant units,% owner-occupied units,% multi-family units,Median home value,Median rent,% structures more than 30 years old,% HH in neighborhood 10 years or less,"% 17 and under, total","% 60 and older, total","% 75 and older, total","% currently married, not separated","% widowed, divorced and separated",% female-headed families with children,year
48209010702,89.83478436,1.680201633,7.476897073,0.224026885,0.448053769,0.028003361,,0.056006721,0.028003361,0.308036966,0.028003361,,15.66617903,11.47876983,19.71831051,,16.51651639,1.801801865,,,,,6.88882683,0.028003361,,0.247049137,0.878396931,11.28191038,2.799890088,2.937139802,4.419434493,3.184188855,3.101839144,10.70100109,0.8297568,,,0.713697502,,,29.54977921,47.43183312,4.750153951,48.45161646,45.01295408,7.577720147,13.47150275,12.93417102,4.095308884,14896.00077,25454.54297,,14896.00077,,7175.999785,22.83051739,0.018656153,1.453488452,22.32919332,14.0350883,48.72611463,,,10.1659751,51.27020559,41.11187238,69662.00206,289.0000166,7.069320421,80.67226733,21.95463364,8.90506879,2.128255402,42.6322839,7.166778242,1.744186142,1980
48209010803,92.41312659,0.478692153,6.399261176,0.362041991,0.224335858,0.019353456,0.012188835,0.026518076,0.019354144,0.127566512,0.007165998,,18.9858168,17.22275887,19.71789809,0.003654941,22.41062539,2.222575698,,26.47058864,,,5.870921588,0.007164965,0.036567884,0.136908353,0.397863988,8.920126951,3.746553581,1.429636523,2.142003916,0.935991596,1.448174042,7.071756865,0.595527415,0.06063141,,0.355093791,,,48.17621932,28.91190717,2.38103435,47.56312427,32.59360645,8.065549901,17.37923126,19.09694063,8.382882537,15738.12365,20687.7599,9374.999923,15738.12365,,7492.984745,14.06228062,0.020490992,4.804266296,13.94500642,14.03865549,22.6575781,100,,17.63756216,72.67079767,18.05134911,60796.50693,234.1994167,16.46644136,80.10238834,25.15656072,16.27138,3.786798981,62.20525266,10.78274862,2.477569279,1980
48209010804,92.41312781,0.478692143,6.399261094,0.362041997,0.224335847,0.019353456,0.012188836,0.026518076,0.019354145,0.127566512,0.007165997,,18.98581599,17.22275863,19.7178985,0.003654929,22.41062452,2.222575644,,26.47058654,,,5.870921481,0.007164964,0.036567885,0.136908355,0.397863966,8.920127013,3.746553457,1.429636507,2.142003851,0.935991596,1.448174041,7.071757132,0.59552744,0.06063141,,0.355093791,,,48.17621793,28.91190641,2.381034344,47.56312563,32.5936041,8.065549695,17.37923006,19.09694148,8.382882019,15738.12345,20687.7609,9375.000443,15738.12345,,7492.984907,14.06228054,0.020490991,4.80426647,13.94500587,14.03865438,22.65757951,100,,17.63756139,72.67079542,18.05134972,60796.50631,234.1994143,16.46644093,80.1023848,25.156562,16.27138045,3.786799128,62.20524774,10.78274847,2.477569225,1980
48209010805,93.3005721,0.065520066,6.027846136,0.40950041,0.147420145,0.016380017,0.016380017,0.016380017,0.016380017,0.065520066,,,20.10778038,19.16470254,,,25.54347814,2.445652095,,26.47058796,,,5.520065566,,0.049140049,0.098280099,0.229320224,8.091727661,4.078623971,0.900900884,1.343161292,0.147420147,0.868140868,5.758055959,0.5106533,0.081900082,,0.229320229,,,52.57128263,24.54175075,1.597222214,47.22221914,28.61679585,8.221594801,18.63091042,21.40151494,10.08551287,16017.99988,19575.24262,,16017.99988,,7601.999765,11.15131609,0.021100242,5.584340515,11.26498943,,9.217877069,100,,19.82758575,79.69892931,11.24137931,58923.99892,191.000006,19.24137935,79.91397845,26.25716664,18.80425921,4.357084473,69.29426053,12.09244686,2.64824408,1980
48209010806,93.30057768,0.065520067,6.027846148,0.409500418,0.14742015,0.016380017,0.016380017,0.016380017,0.016380017,0.065520067,,,20.10778014,19.16470195,,,25.54347695,2.445652174,,26.47058824,,,5.520065668,,0.04914005,0.0982801,0.229320234,8.091728174,4.078624199,0.900900879,1.343161291,0.147420147,0.868140868,5.758055728,0.510653294,0.081900082,,0.229320229,,,52.57128151,24.54175237,1.597222308,47.22222204,28.61679383,8.221594877,18.63091009,21.40151462,10.08551309,16018.00048,19575.24333,,16018.00048,,7601.999775,11.15131625,0.021100242,5.584340888,11.26498904,,9.217877714,100,,19.82758685,79.69892798,11.24137889,58923.99906,191.000004,19.24137984,79.91398228,26.2571669,18.80425902,4.357084207,69.2942654,12.09244719,2.648244067,1980
48209010807,93.300576,0.065520065,6.027846175,0.409500415,0.147420144,0.016380016,0.016380016,0.016380016,0.016380016,0.065520065,,,20.10777943,19.16470186,,,25.5434782,2.445652061,,26.47058811,,,5.520065624,,0.04914005,0.0982801,0.22932023,8.091728219,4.078623946,0.900900904,1.343161301,0.147420147,0.868140868,5.758055918,0.510653283,0.081900082,,0.229320229,,,52.57128269,24.54175068,1.597222217,47.22222113,28.61679636,8.22159462,18.63090994,21.40151355,10.08551339,16017.99971,19575.24213,,16017.99971,,7601.999885,11.1513156,0.021100243,5.58434068,11.26498875,,9.217877006,100,,19.82758643,79.69892512,11.24137916,58923.9988,191.0000007,19.241379,79.91397858,26.25716595,18.80425879,4.357084485,69.29426142,12.09244752,2.648244051,1980
48209010808,93.30057722,0.065520064,6.027846086,0.40950041,0.147420143,0.016380016,0.016380016,0.016380016,0.016380016,0.065520064,,,20.10777985,19.16470182,,,25.54347683,2.445652077,,26.47058813,,,5.520065671,,0.049140049,0.098280099,0.229320227,8.09172786,4.078624042,0.900900935,1.343161374,0.147420147,0.868140868,5.758056088,0.510653277,0.081900082,,0.229320229,,,52.57127996,24.54175043,1.597222308,47.22222223,28.61679556,8.221594887,18.63090991,21.40151569,10.08551329,16018.00021,19575.24265,,16018.00021,,7602.000127,11.15131559,0.021100242,5.584341082,11.26498905,,9.217876368,100,,19.82758496,79.69892364,11.24137908,58924.00228,190.9999945,19.24137945,79.91398315,26.25716706,18.8042594,4.357084334,69.2942681,12.09244784,2.648244171,1980
48209010809,93.30057437,0.065520063,6.027845953,0.409500413,0.147420147,0.016380016,0.016380016,0.016380016,0.016380016,0.065520063,,,20.10778042,19.1647021,,,25.54347839,2.4456522,,26.47058861,,,5.520065372,,0.049140049,0.098280098,0.229320237,8.091728414,4.078623964,0.900900879,1.34316138,0.147420147,0.868140868,5.7580561,0.510653304,0.081900082,,0.229320229,,,52.57128238,24.54175126,1.597222231,47.2222233,28.61679631,8.221594437,18.6309097,21.40151417,10.08551253,16017.99968,19575.24324,,16017.99968,,7602.000021,11.1513157,0.021100242,5.584340981,11.26498874,,9.21787661,100,,19.82758741,79.69892559,11.24137972,58923.99723,191.0000011,19.24137946,79.91397307,26.25716623,18.80425856,4.357084356,69.29425971,12.09244671,2.648244064,1980
48209010901,61.57303291,2.591760241,35.5056183,0.17977529,0.104868915,,,,0.029962546,0.014981273,0.059925093,,27.9524066,10.26460656,16.39344218,29.50819652,34.51476925,6.244725476,,,,,34.2471899,0.014981273,0.059925093,,0.209737831,8.599251191,2.996254798,0.479400744,2.831460572,1.063670413,1.483146068,34.37704807,5.278688468,,,0.074906367,,,69.86149584,15.84487584,2.588686422,55.15890464,19.81627286,13.94357001,8.792650712,14.83336966,5.965163576,17930.9998,21225.49081,9374.999668,17930.9998,,6578.000271,13.40823916,0.017281769,6.659012589,10.4777129,37.15846811,21.89873348,,,9.805615653,74.76053935,6.697952259,41010.99805,,25.9385678,72.74903858,34.59176037,10.75655417,2.501872617,66.89569172,9.785550563,4.994259442,1980
48209010902,61.57303319,2.591760238,35.5056174,0.179775282,0.104868917,,,,0.029962547,0.014981273,0.059925094,,27.95240641,10.26460663,16.39344187,29.50819678,34.5147683,6.244725836,,,,,34.24719237,0.014981273,0.059925094,,0.209737835,8.599250579,2.996254769,0.479400751,2.831460758,1.063670412,1.483146067,34.37704952,5.278688571,,,0.074906367,,,69.86149897,15.84487641,2.588686343,55.15890285,19.81627202,13.94356956,8.792651049,14.83336883,5.965163411,17931.00079,21225.48879,9374.999968,17931.00079,,6578.000114,13.40824043,0.017281768,6.659013116,10.47771241,37.15847105,21.89873346,,,9.805615409,74.76053104,6.697952073,41011.00125,,25.93856656,72.74903996,34.59175985,10.75655449,2.501872735,66.89569093,9.785551273,4.994259652,1980
