tractid,"% white, non-Hispanic","% black, non-Hispanic",% Asian and Pacific Islander race,% Hawaiian race,% Indian birth/race,% Chinese birth/race,% Filipino birth/race,% Japanese birth/race,% Korean birth/race,"% 15 and under, non-Hispanic white","% 60 and older, non-Hispanic white","% 15 and under, non-Hispanic black","% 60 and older, non-Hispanic black",% Mexican birth/ethnicity,% Cuban birth/ethnicity,% Puerto Rican birth/ethnicity,% Russian/USSR parentage/ancestry,% Italian parentage/ancestry,% German parentage/ancestry,% Irish parentage/ancestry,% Scandinavian parentage/ancestry,% foreign born,% immigrated in past 10 years,% Naturalized,% Russian/USSR birth,% Italian birth,% German birth,% Irish birth,% Scandinavian birth,% with high school degree or less,% with 4-year college degree or more,% unemployed,% female labor force participation,% professional employees,% manufacturing employees,% self-employed,% veteran,% with disability,"Median HH income, total",Per capita income,"% in poverty, total","% in poverty, 65+","% in poverty, families with children","% in poverty, whites","% in poverty, African Americans",% vacant units,% owner-occupied units,% multi-family units,Median home value,Median rent,% structures more than 30 years old,% HH in neighborhood 10 years or less,"% 17 and under, total","% 60 and older, total","% 75 and older, total","% currently married, not separated","% widowed, divorced and separated",% female-headed families with children,% Hispanic,% Native American race,% Vietnamese race,"% 15 and under, Hispanic","% 60 and older, Hispanic","% 15 and under, Native American","% 60 and older, Native American","% 15 and under, Asian/  Pacific Islanders","% 60 and older, Asian/  Pacific Islanders","% speaking other language at home, age 5+","% speaking English not well, age 5+","Median HH income, whites","Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders","% in poverty, Hispanics","% in poverty, Native Americans","% in poverty, Asian/ Pacific Islanders",year
36085000300,93.7976775974788,3.433564532450075,2.334865898194252,0.07231533409640822,0.07231533409640822,1.5909372715246208,0.21694599792275995,0.09309054120560024,0.2892613363856329,9.282290661724874,32.48259289721606,37.351632276911985,6.318389995948457,-9999,0.5785226728054798,1.0124147036722655,0.44925098921058826,8.910144594489726,2.825393514917175,5.316960584951812,2.995006690814282,17.732794719459484,1.3877839535828236,16.345011510981102,-9999,3.5940079135330056,2.097328616236499,2.0216295240363698,0.8236267896093387,70.72705440098161,15.514730147708653,5.521580099025626,49.73210663406462,34.63376963294933,11.293814581438083,4.112784800941269,30.993460677126176,7.414507528986095,8169.701908,5130.786,16.41937675671625,3.6417758071796977,4.803784625139713,15.551772015518717,-9999,4.885525778586437,4.642095803844634,96.90369486918443,22500.0015,93.81794984,71.79982982903744,73.94236116290605,11.921600323750006,31.13953174132365,6.5299507429720265,39.48115417639385,21.81124884811239,3.172476335632215,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36085000600,97.80550822041236,1.490948285680453,0.7017752455200716,0.0001185952108424147,0.13723055263093273,0.0026090946226326886,0.07128920703626714,0.21582950047099753,0.2746982956835506,26.93495003692316,14.793837038332258,39.03532523873732,0.023863042601417445,-9999,0.000948761706793609,0.001660333021034725,0.0007696019115895959,18.258982914814638,1.7273725500280597,3.3826399318666374,2.885717912447473,3.0187889122782363,0.0020571333514809048,3.016731779321615,-9999,0.37546287077870033,0.05851261197315286,0.0034632086760143918,1.4786351586833668,69.1748773218417,20.914369834385955,0.010146583387013004,52.35958257968803,34.356944217621816,15.90929764151713,3.7155219913044895,48.317894212072765,5.138022908128915,10853.30616,5721.422,5.388628730138331,2.328745963650999,1.314032240105109,5.332140981893353,-9999,4.568195005169282,36.90004351780083,66.66594566742279,25150.67911,126.5717286,66.3776046200871,61.25252969830865,29.58047481079758,14.545155571511717,2.9326204772353726,60.0583166996578,12.29012125692357,4.414510615264329,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36085000700,86.46729776247854,11.488812435226015,0.946643721254578,-9999,0.21514630028513135,0.5163511206843152,0.15060241019959195,0.0645438900855394,-9999,26.996765465089315,19.457576584055154,54.8689138576779,4.119850187265918,0.1290877801710788,-9999,4.5395869360162715,1.1417492501959796,6.72124086907822,2.1327014296113584,6.268849656736417,0.9478673020494925,9.256513485832926,1.249735230352729,8.070324114650674,0.5385609670735753,0.7109004765371194,0.38776389629297425,1.0986643728300935,0.3015941415612022,76.35733538698499,15.671929149018098,3.982080637132902,49.97260273972603,29.13426645930534,14.56713322965267,1.4515292897874545,45.00693481276006,8.4167425238098,7879.166545,4554.21,10.880274188255443,2.334547020708353,5.645851154833191,9.989780314217349,22.033898305084747,2.3172905525846703,17.579075425790755,93.87997623291741,21250.0,86.70774908,43.69449378330373,82.37082066869301,33.0895009838532,17.3623064330101,4.109294335446009,54.29492837582059,17.209029674193676,8.126603934987168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36085000800,98.65410497981158,0.4576043040239925,0.6998654061543415,0.02691790023670544,-9999,0.2691790023670544,0.3230148028404653,0.08075370071011632,-9999,27.74897663541878,15.170531965873002,35.294117647058826,5.882352941176471,0.1345895011835272,-9999,1.6958277149124428,0.26130127873759323,25.633655444157895,1.437157033056763,3.553697390831268,0.9145544755815763,13.045672388054047,3.002775656051125,8.427958564042655,-9999,5.565717237110736,0.15678076724255594,0.888424347707817,0.18291089511631528,91.2982782689623,5.7701256398324805,2.9139072847682117,36.07142857142857,12.210095497953615,14.324693042291951,3.069577080491132,50.11337868480726,8.624502379149476,8392.857143,4166.311,7.26271626263629,1.9664394212914142,2.2540983606557377,7.605711099689358,-9999,1.6033755274261603,56.260720411663804,54.0084388185654,20258.62043,99.16666667,76.01323407775021,54.056291390728475,30.847913671264433,15.181695733501869,3.8761776340855834,61.823361439661774,11.039885971368175,4.508196721311475,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36085000900,78.10595405532088,19.456164921595466,2.062822304940242,-9999,0.046882325112278224,1.2189404529192338,0.3750586008982258,0.42194092601050404,-9999,21.188475276689616,16.986794626921135,45.06024096385542,4.096385542168675,-9999,-9999,0.23441162556139114,1.5289058686966246,9.84233152973452,3.9655995969318703,3.870042980138331,1.0511227847289295,20.088439569988935,7.07517368502755,11.749842012635037,-9999,5.160057306851108,2.2455804946481672,0.33444815877738665,0.2388915419838476,71.37161084529505,16.188197767145134,2.240566037735849,37.72845953002611,33.775633293124244,10.615199034981906,5.910735826296743,42.705570291777185,-9999,9653.845556,4924.778,12.142498678591327,3.7631710780758243,4.536862003780718,9.44148931148144,24.63054187192118,2.727272727272727,29.639519359145527,83.50649350649351,25681.81757,111.0989015,69.75546975546976,72.80927835051547,29.30145319517389,14.25222683413258,4.453820885666431,54.8012229481238,14.128440291313167,4.3478260869565215,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36085001100,77.32240437158464,21.286636971921414,0.9687034327945567,0.04967709911766958,0.02483854955883479,0.4470938920590262,0.3229011442648523,0.09935419823533916,0.02483854955883479,26.50176692328682,16.447157169361034,44.807467911318554,4.434072345390899,-9999,-9999,4.7938400648551145,1.0928961805640387,9.314456084352603,1.068057631005765,2.3596622080359926,1.3412816761467747,19.147084521220634,7.078619126027022,8.935306109902962,0.2732240451410097,1.0432190814474915,-9999,0.29806259469928326,0.3725782433741041,85.93967517401393,5.661252900232019,6.158536585365853,46.27062706270627,18.648473034437945,11.760883690708251,3.833658219623132,46.18291761148904,14.255431978036205,7795.918655,4164.722,12.220566382670613,1.4903129734964164,8.128342245989305,10.94413596050512,19.19191919191919,4.198473282442748,37.76892430278885,86.94656488549619,17019.22996,92.84722111,84.27480916030534,69.9601593625498,33.97913579648599,13.760556455594473,3.52707403735454,52.951096398810805,14.232715082992458,9.411764705882353,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36085001700,91.76928062216462,7.0641607258587165,0.5832793259883344,-9999,-9999,0.12961762799740764,0.06480881399870382,0.2592352559948153,0.12961762799740764,24.78813559322034,16.031073446327685,30.275229357798164,6.422018348623853,-9999,-9999,2.0090732339598185,2.6933701657458564,14.502762430939226,4.696132596685083,1.7955801104972375,1.7265193370165746,8.988159311087191,1.991388589881593,4.628632938643703,0.4143646408839779,4.488950276243094,0.6215469613259669,-9999,-9999,75.74421168687982,15.43550165380375,1.238390092879257,41.98717948717949,26.95924764890282,12.852664576802507,9.561128526645769,44.97816593886463,4.713114754098361,9903.845533,5436.01,7.958251793868232,2.73972602739726,2.4691358024691357,4.771929824561403,73.97260273972603,1.8416206261510129,43.151969981238274,64.64088397790056,32894.73913,93.10811159,85.18518518518519,63.51851851851852,28.904731043421904,15.230071289695399,3.1756318859364874,55.453788509575354,14.238134887593672,9.135802469135802,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36085001800,86.2068965517241,11.094452744646198,2.3988006724540942,-9999,0.14992504202838053,-9999,0.7496251735965055,1.1994003362270442,0.29985008405676106,38.434783901573574,0.5217391462587644,41.89189096600394,-9999,-9999,-9999,-9999,-9999,-9999,1.1138613897178962,-9999,-9999,9.775640814900335,-9999,9.775640814900335,-9999,-9999,1.1138613897178962,-9999,-9999,52.631577166466506,18.26625352373537,-9999,29.629629709169222,15.873016019072205,-9999,-9999,17.64705907647471,8.247422929029456,8125.00045,4186.609,1.3513513264449597,-9999,3.225806269582041,-9999,-9999,4.109589164598625,1.428571458419316,85.61643608737342,-9999,-9999,47.68211722364406,100.0,42.57871091278895,0.44977512608514153,0.29985008405676106,67.43119615929281,2.064220190184838,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36085002001,99.57356076759068,-9999,0.4264392267747811,-9999,-9999,-9999,0.31982942008108584,0.10660980669369527,-9999,24.41113458109254,15.524625062536922,-9999,-9999,-9999,-9999,-9999,-9999,20.800889602301908,0.7786429262893761,-9999,1.334816445067502,10.337552606308641,-9999,10.337552606308641,-9999,3.7819799276912556,0.7786429262893761,-9999,-9999,81.55038759689923,12.55813953488372,1.2285012285012284,42.69662921348315,24.129353233830845,16.666666666666668,1.492537313432836,66.66666666666667,7.76892420064761,11333.33299,5626.635,1.5037593786291725,1.5037593786291725,-9999,1.5538290582790613,-9999,-9999,50.625,59.375,23928.57253,141.428575,56.80473372781065,70.34883720930233,26.439232060036428,15.56503177727951,3.3049040075045535,66.04026758377657,9.798657588649775,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
36085002002,95.04884256059918,3.8365839459638504,1.113215415556489,-9999,0.04860732995911522,0.14378491551884845,0.3388932602753858,0.5805718603647216,0.0013580495723316374,18.81510275936818,16.64236760315235,68.00784983660347,1.2492442716748282,-9999,-9999,0.4313547465565453,0.5648419680186673,31.682499478865246,2.2659152942311542,1.8999229833355171,0.2567463490993942,17.89510006579991,5.697665197276655,8.455684589714707,-9999,7.1888977747830385,0.006547422002437374,0.8215883171180615,-9999,71.84499790665299,19.53654037213909,2.022464415904553,49.29213720232634,36.138338966851705,13.417380448496981,8.256849506767372,38.94623418203058,12.343992518546491,10621.94213,5124.84,6.410657863705582,1.1417315963344539,3.0372753194921542,7.0174303629962616,-9999,1.0717505874043487,46.64159838804554,66.52426604984305,34215.68852,148.6934603,35.15541725691487,65.53464678954195,25.11556174366711,15.866306086649391,5.03383009273204,59.20257881067222,10.685350532079896,2.015332795805248,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1970
